Direction;StartDate;StartTimeOnly;EndDate;EndTimeOnly;StartPrice;EndPrice;LineLength;Duration;Angle;Weekday
SELL;23.09.2021;17:45;01.10.2021;04:00;1.17488;1.15635;185;178:15:00;1.038;TH
SELL;29.10.2021;03:00;29.10.2021;19:30;1.1689;1.15374;152;16:30;9.212;FR
SELL;09.11.2021;08:00;17.11.2021;05:30;1.16061;1.12795;327;189:30:00;1.726;TU
BUY;11.01.2022;16:30;14.01.2022;07:30;1.1321;1.14806;160;63:00:00;2.54;TU
SELL;26.01.2022;04:30;28.01.2022;10:30;1.13105;1.11235;187;54:00:00;3.463;WE
BUY;28.01.2022;10:30;01.02.2022;13:30;1.11235;1.12774;154;99:00:00;1.556;FR
BUY;03.02.2022;13:00;04.02.2022;14:00;1.12757;1.14806;205;25:00:00;8.2;TH
SELL;01.03.2022;09:45;02.03.2022;11:00;1.12295;1.10661;163;25:15:00;6.455;TU
BUY;28.03.2022;16:00;29.03.2022;16:30;1.09474;1.11323;185;24:30:00;7.551;MO
SELL;31.03.2022;17:45;06.04.2022;09:00;1.11195;1.08771;242;135:15:00;1.789;TH
SELL;11.05.2022;16:30;12.05.2022;14:45;1.05673;1.03993;168;22:15;7.551;WE
BUY;16.05.2022;17:45;18.05.2022;03:00;1.04029;1.05621;159;33:15:00;4.782;MO
BUY;20.05.2022;21:15;23.05.2022;12:30;1.05337;1.06862;152;63:15:00;2.403;FR
SELL;09.06.2022;15:15;13.06.2022;17:45;1.0761;1.04212;340;98:30:00;3.452;TH
BUY;16.06.2022;14:45;16.06.2022;20:30;1.03849;1.05882;203;05:45;35.304;TH
SELL;04.07.2022;14:00;05.07.2022;18:00;1.04611;1.02386;223;28:00:00;7.964;MO
BUY;10.08.2022;03:15;10.08.2022;17:45;1.02036;1.03551;151;14:30;10.414;WE
SELL;11.08.2022;16:45;15.08.2022;13:15;1.03589;1.01874;171;92:30:00;1.849;TH
SELL;18.08.2022;14:30;23.08.2022;09:45;1.01825;0.99062;276;115:15:00;2.395;TH
SELL;26.08.2022;17:00;29.08.2022;07:30;1.00735;0.99157;158;62:30:00;2.528;FR
BUY;08.09.2022;19:00;09.09.2022;10:15;0.99478;1.01093;162;15:15;10.623;TH
SELL;13.09.2022;14:15;14.09.2022;01:00;1.01809;0.99609;220;10:45;20.465;TU
SELL;23.09.2022;16:00;26.09.2022;03:45;0.97714;0.95692;202;59:45:00;3.381;FR
BUY;28.09.2022;14:15;28.09.2022;21:45;0.9551;0.97447;194;07:30;25.867;WE
BUY;03.10.2022;20:45;04.10.2022;21:45;0.97944;0.99977;203;25:00:00;8.12;MO
SELL;06.10.2022;06:15;07.10.2022;09:30;0.99252;0.97702;155;27:15:00;5.688;TH
BUY;13.10.2022;15:30;14.10.2022;04:45;0.96487;0.97996;151;13:15;11.396;TH
BUY;14.10.2022;19:45;18.10.2022;09:30;0.97177;0.98685;151;85:45:00;1.761;FR
BUY;21.10.2022;15:15;24.10.2022;00:45;0.9714;0.98847;171;57:30:00;2.974;FR
BUY;25.10.2022;10:45;26.10.2022;11:45;0.98564;1.00381;182;25:00:00;7.28;TU
SELL;02.11.2022;21:15;03.11.2022;13:30;0.99446;0.97354;209;16:15;12.862;WE
BUY;04.11.2022;00:15;04.11.2022;17:30;0.97465;0.99308;184;17:15;10.667;FR
BUY;10.11.2022;12:15;10.11.2022;17:45;0.99416;1.01812;240;05:30;43.636;TH
SELL;28.11.2022;13:00;28.11.2022;22:15;1.04936;1.03345;159;09:15;17.189;MO
BUY;30.11.2022;17:45;01.12.2022;08:45;1.02986;1.0456;157;15:00;10.467;WE
SELL;30.12.2022;19:45;03.01.2023;13:15;1.07104;1.05265;184;89:30:00;2.056;FR
BUY;06.01.2023;16:30;09.01.2023;10:30;1.05036;1.06949;191;66:00:00;2.894;FR
BUY;31.01.2023;10:45;02.02.2023;06:30;1.08033;1.10245;221;43:45:00;5.051;TU
SELL;03.02.2023;17:30;07.02.2023;17:15;1.0866;1.06705;195;95:45:00;2.037;FR
SELL;21.02.2023;17:30;27.02.2023;08:30;1.06881;1.05342;154;135:00:00;1.141;TU
SELL;06.03.2023;18:45;08.03.2023;05:45;1.06936;1.05294;164;35:00:00;4.686;MO
BUY;08.03.2023;05:45;10.03.2023;17:30;1.05294;1.0697;168;59:45:00;2.812;WE
SELL;15.03.2023;05:00;15.03.2023;16:15;1.07581;1.05232;235;11:15;20.889;WE
BUY;20.03.2023;11:15;22.03.2023;22:15;1.06317;1.08919;260;59:00:00;4.407;MO
SELL;23.03.2023;18:30;24.03.2023;12:45;1.09031;1.07257;177;18:15;9.699;TH
BUY;10.04.2023;17:15;14.04.2023;08:45;1.08337;1.10744;241;87:30:00;2.754;MO
BUY;15.06.2023;08:00;16.06.2023;15:00;1.08075;1.09668;159;31:00:00;5.129;TH
SELL;22.06.2023;13:15;23.06.2023;11:45;1.10071;1.08491;158;22:30;7.022;TH
BUY;06.07.2023;17:30;11.07.2023;09:15;1.08398;1.10234;184;111:45:00;1.647;TH
BUY;11.07.2023;15:45;14.07.2023;06:45;1.09817;1.12413;260;63:00:00;4.127;TU
SELL;27.07.2023;13:00;28.07.2023;11:00;1.11465;1.09511;195;22:00;8.864;TH
SELL;10.08.2023;15:45;14.08.2023;16:45;1.1042;1.08815;161;97:00:00;1.66;TH
SELL;24.10.2023;10:00;26.10.2023;18:15;1.06875;1.05257;162;56:15:00;2.88;TU
BUY;13.11.2023;15:00;14.11.2023;22:15;1.06668;1.08865;220;31:15:00;7.04;MO
SELL;28.12.2023;17:15;03.01.2024;21:00;1.11123;1.08956;217;147:45:00;1.469;TH
SELL;02.02.2024;11:30;05.02.2024;17:45;1.0897;1.07252;172;78:15:00;2.198;FR
SELL;09.04.2024;16:15;11.04.2024;15:15;1.08816;1.07255;156;47:00:00;3.319;TU
SELL;07.06.2024;10:00;10.06.2024;17:45;1.08983;1.07336;165;79:45:00;2.069;FR
SELL;12.06.2024;18:15;14.06.2024;16:45;1.08504;1.0669;181;46:30:00;3.892;WE
BUY;01.08.2024;12:45;05.08.2024;07:15;1.07777;1.09388;161;90:30:00;1.779;TH
BUY;08.08.2024;16:30;14.08.2024;17:30;1.08863;1.10424;156;145:00:00;1.076;TH
BUY;15.08.2024;16:00;21.08.2024;21:15;1.09524;1.11732;221;149:15:00;1.481;TH
SELL;30.09.2024;11:45;04.10.2024;19:15;1.12057;1.09536;252;103:30:00;2.435;MO
SELL;05.11.2024;20:15;06.11.2024;05:30;1.09354;1.0719;216;09:15;23.351;TU
SELL;22.11.2024;10:00;22.11.2024;11:00;1.04952;1.03399;155;01:00;155;FR
