Direction;StartTime;StartPrice;EndTime;EndPrice;LineLength
SELL;23.09.2021 17:45;1.17488;01.10.2021 04:00;1.15635;185
SELL;29.10.2021 03:00;1.1689;29.10.2021 19:30;1.15374;152
SELL;09.11.2021 08:00;1.16061;17.11.2021 05:30;1.12795;327
BUY;11.01.2022 16:30;1.1321;14.01.2022 07:30;1.14806;160
SELL;26.01.2022 04:30;1.13105;28.01.2022 10:30;1.11235;187
BUY;28.01.2022 10:30;1.11235;01.02.2022 13:30;1.12774;154
BUY;03.02.2022 13:00;1.12757;04.02.2022 14:00;1.14806;205
SELL;01.03.2022 09:45;1.12295;02.03.2022 11:00;1.10661;163
BUY;28.03.2022 16:00;1.09474;29.03.2022 16:30;1.11323;185
SELL;31.03.2022 17:45;1.11195;06.04.2022 09:00;1.08771;242
SELL;11.05.2022 16:30;1.05673;12.05.2022 14:45;1.03993;168
BUY;16.05.2022 17:45;1.04029;18.05.2022 03:00;1.05621;159
BUY;20.05.2022 21:15;1.05337;23.05.2022 12:30;1.06862;152
SELL;09.06.2022 15:15;1.0761;13.06.2022 17:45;1.04212;340
BUY;16.06.2022 14:45;1.03849;16.06.2022 20:30;1.05882;203
SELL;04.07.2022 14:00;1.04611;05.07.2022 18:00;1.02386;223
BUY;10.08.2022 03:15;1.02036;10.08.2022 17:45;1.03551;151
SELL;11.08.2022 16:45;1.03589;15.08.2022 13:15;1.01874;171
SELL;18.08.2022 14:30;1.01825;23.08.2022 09:45;0.99062;276
SELL;26.08.2022 17:00;1.00735;29.08.2022 07:30;0.99157;158
BUY;08.09.2022 19:00;0.99478;09.09.2022 10:15;1.01093;162
SELL;13.09.2022 14:15;1.01809;14.09.2022 01:00;0.99609;220
SELL;23.09.2022 16:00;0.97714;26.09.2022 03:45;0.95692;202
BUY;28.09.2022 14:15;0.9551;28.09.2022 21:45;0.97447;194
BUY;03.10.2022 20:45;0.97944;04.10.2022 21:45;0.99977;203
SELL;06.10.2022 06:15;0.99252;07.10.2022 09:30;0.97702;155
BUY;13.10.2022 15:30;0.96487;14.10.2022 04:45;0.97996;151
BUY;14.10.2022 19:45;0.97177;18.10.2022 09:30;0.98685;151
BUY;21.10.2022 15:15;0.9714;24.10.2022 00:45;0.98847;171
BUY;25.10.2022 10:45;0.98564;26.10.2022 11:45;1.00381;182
SELL;02.11.2022 21:15;0.99446;03.11.2022 13:30;0.97354;209
BUY;04.11.2022 00:15;0.97465;04.11.2022 17:30;0.99308;184
BUY;10.11.2022 12:15;0.99416;10.11.2022 17:45;1.01812;240
SELL;28.11.2022 13:00;1.04936;28.11.2022 22:15;1.03345;159
BUY;30.11.2022 17:45;1.02986;01.12.2022 08:45;1.0456;157
SELL;30.12.2022 19:45;1.07104;03.01.2023 13:15;1.05265;184
BUY;06.01.2023 16:30;1.05036;09.01.2023 10:30;1.06949;191
