Direction;StartDate;StartTime;EndTime;StartPrice;EndPrice;LineLength;Duration;Angle;Weekday
SELL;21.09.2021;16:30;04:00;1.17317;1.15635;168;227:30:00;0.738;1
SELL;23.09.2021;17:45;04:00;1.17488;1.15635;185;178:15:00;1.038;3
SELL;29.10.2021;03:00;19:30;1.1689;1.15374;152;16:30;9.212;4
SELL;09.11.2021;08:00;05:30;1.16061;1.12795;327;189:30:00;1.726;1
BUY;10.01.2022;16:00;07:30;1.12909;1.14806;190;87:30:00;2.171;0
BUY;11.01.2022;16:30;07:30;1.1321;1.14806;160;63:00:00;2.54;1
SELL;14.01.2022;07:30;22:45;1.14806;1.13172;163;111:15:00;1.465;4
SELL;14.01.2022;07:30;03:00;1.14806;1.13018;179;163:30:00;1.095;4
SELL;14.01.2022;07:30;10:30;1.14806;1.11235;357;339:00:00;1.053;4
SELL;21.01.2022;16:15;10:30;1.13556;1.11235;232;162:15:00;1.43;4
SELL;26.01.2022;04:30;10:30;1.13105;1.11235;187;54:00:00;3.463;2
BUY;28.01.2022;10:30;13:30;1.11235;1.12774;154;99:00:00;1.556;4
BUY;28.01.2022;10:30;15:00;1.11235;1.13292;206;124:30:00;1.655;4
BUY;28.01.2022;10:30;14:00;1.11235;1.14806;357;171:30:00;2.082;4
BUY;03.02.2022;13:00;14:00;1.12757;1.14806;205;25:00:00;8.2;3
SELL;10.02.2022;18:15;21:15;1.14886;1.12868;202;99:00:00;2.04;3
SELL;23.02.2022;12:30;17:45;1.13558;1.11151;241;29:15:00;8.239;2
BUY;24.02.2022;17:45;23:15;1.11151;1.12734;158;29:30:00;5.356;3
SELL;28.02.2022;18:15;11:00;1.12427;1.10661;177;40:45:00;4.344;0
SELL;01.03.2022;09:45;11:00;1.12295;1.10661;163;25:15:00;6.455;1
SELL;02.03.2022;21:00;03:15;1.11318;1.08337;298;102:15:00;2.914;2
SELL;02.03.2022;21:00;12:15;1.11318;1.08171;315;111:15:00;2.831;2
BUY;07.03.2022;21:45;19:45;1.08475;1.10937;246;46:00:00;5.348;0
BUY;09.03.2022;01:15;19:45;1.08919;1.10937;202;18:30;10.919;2
BUY;16.03.2022;21:00;20:00;1.09581;1.11335;175;23:00;7.609;2
BUY;28.03.2022;16:00;16:30;1.09474;1.11323;185;24:30:00;7.551;0
BUY;28.03.2022;08:30;16:30;1.09453;1.11323;187;32:00:00;5.844;0
BUY;28.03.2022;08:30;04:15;1.09453;1.11821;237;67:45:00;3.498;0
SELL;31.03.2022;17:45;09:00;1.11195;1.08771;242;135:15:00;1.789;3
SELL;31.03.2022;04:15;09:00;1.11821;1.08771;305;148:45:00;2.05;3
SELL;31.03.2022;04:15;16:30;1.11821;1.08381;344;204:15:00;1.684;3
BUY;19.04.2022;05:15;10:45;1.07657;1.09272;161;53:30:00;3.009;1
SELL;21.04.2022;10:45;18:00;1.09272;1.07751;152;31:15:00;4.864;3
SELL;21.04.2022;10:45;17:45;1.09272;1.0515;412;151:00:00;2.728;3
SELL;21.04.2022;10:45;08:30;1.09272;1.0492;435;165:45:00;2.624;3
SELL;25.04.2022;14:45;17:45;1.07495;1.0515;234;51:00:00;4.588;0
SELL;09.05.2022;19:15;19:45;1.059;1.03578;232;72:30:00;3.2;0
SELL;11.05.2022;16:30;14:45;1.05673;1.03993;168;22:15;7.551;2
SELL;11.05.2022;16:30;19:45;1.05673;1.03578;210;27:15:00;7.706;2
BUY;12.05.2022;19:45;03:00;1.03578;1.05621;204;127:15:00;1.603;3
BUY;13.05.2022;16:15;03:00;1.03582;1.05621;204;106:45:00;1.911;4
BUY;16.05.2022;17:45;03:00;1.04029;1.05621;159;33:15:00;4.782;0
BUY;20.05.2022;21:15;12:30;1.05337;1.06862;152;63:15:00;2.403;4
BUY;20.05.2022;21:15;19:00;1.05337;1.07469;213;93:45:00;2.272;4
SELL;30.05.2022;19:45;18:30;1.07862;1.06283;158;46:45:00;3.38;0
SELL;09.06.2022;15:15;17:45;1.0761;1.04212;340;98:30:00;3.452;3
SELL;09.06.2022;15:15;04:45;1.0761;1.04014;360;109:30:00;3.288;3
BUY;16.06.2022;14:45;20:30;1.03849;1.05882;203;05:45;35.304;3
BUY;16.06.2022;10:30;20:30;1.03815;1.05882;207;10:00;20.7;3
SELL;27.06.2022;18:15;15:00;1.06094;1.03868;223;68:45:00;3.244;0
SELL;04.07.2022;14:00;18:00;1.04611;1.02386;223;28:00:00;7.964;0
SELL;04.07.2022;14:00;15:15;1.04611;1.01688;292;49:15:00;5.929;0
SELL;04.07.2022;14:00;10:30;1.04611;1.00773;384;92:30:00;4.151;0
SELL;08.07.2022;18:00;12:30;1.01865;1.00008;186;90:30:00;2.055;4
SELL;13.07.2022;17:45;16:30;1.0107;0.99534;154;22:45;6.769;2
BUY;14.07.2022;19:45;13:15;0.99904;1.0162;172;89:30:00;1.922;3
BUY;14.07.2022;19:45;17:45;0.99904;1.01939;203;94:00:00;2.16;3
BUY;14.07.2022;16:30;17:45;0.99534;1.01939;241;97:15:00;2.478;3
SELL;02.08.2022;03:45;17:45;1.02867;1.01303;156;38:00:00;4.105;1
BUY;05.08.2022;18:15;17:45;1.01519;1.03551;203;119:30:00;1.699;4
BUY;10.08.2022;03:15;17:45;1.02036;1.03551;151;14:30;10.414;2
SELL;11.08.2022;16:45;13:15;1.03589;1.01874;171;92:30:00;1.849;3
SELL;11.08.2022;16:45;14:15;1.03589;1.01269;232;117:30:00;1.974;3
SELL;17.08.2022;21:00;09:45;1.01968;0.99062;291;132:45:00;2.192;2
SELL;18.08.2022;14:30;09:45;1.01825;0.99062;276;115:15:00;2.395;3
SELL;26.08.2022;17:00;07:30;1.00735;0.99157;158;62:30:00;2.528;4
BUY;08.09.2022;19:00;10:15;0.99478;1.01093;162;15:15;10.623;3
BUY;08.09.2022;16:00;10:15;0.99375;1.01093;172;18:15;9.425;3
BUY;09.09.2022;16:00;10:15;1.00344;1.0195;161;66:15:00;2.43;4
SELL;13.09.2022;14:15;01:00;1.01809;0.99609;220;10:45;20.465;1
SELL;20.09.2022;03:00;21:00;1.00492;0.98324;217;42:00:00;5.167;1
SELL;22.09.2022;11:30;03:45;0.98996;0.95692;330;88:15:00;3.739;3
SELL;23.09.2022;16:00;03:45;0.97714;0.95692;202;59:45:00;3.381;4
BUY;28.09.2022;14:15;21:45;0.9551;0.97447;194;07:30;25.867;2
BUY;28.09.2022;09:45;21:45;0.95393;0.97447;205;12:00;17.083;2
BUY;29.09.2022;15:45;11:00;0.96881;0.98405;152;19:15;7.896;3
BUY;29.09.2022;10:30;11:00;0.96469;0.98405;194;24:30:00;7.918;3
BUY;03.10.2022;20:45;21:45;0.97944;0.99977;203;25:00:00;8.12;0
BUY;03.10.2022;14:30;21:45;0.97606;0.99977;237;31:15:00;7.584;0
SELL;04.10.2022;21:45;17:15;0.99977;0.98462;151;19:30;7.744;1
SELL;06.10.2022;06:15;09:30;0.99252;0.97702;155;27:15:00;5.688;3
SELL;06.10.2022;06:15;07:45;0.99252;0.96771;248;121:30:00;2.041;3
BUY;13.10.2022;15:30;04:45;0.96487;0.97996;151;13:15;11.396;3
BUY;14.10.2022;19:45;09:30;0.97177;0.98685;151;85:45:00;1.761;4
BUY;21.10.2022;15:15;00:45;0.9714;0.98847;171;57:30:00;2.974;4
BUY;24.10.2022;12:15;02:45;0.98133;1.00934;280;62:30:00;4.48;0
BUY;25.10.2022;10:45;11:45;0.98564;1.00381;182;25:00:00;7.28;1
BUY;25.10.2022;10:45;02:45;0.98564;1.00934;237;40:00:00;5.925;1
SELL;27.10.2022;17:15;18:30;1.00427;0.98754;167;97:15:00;1.717;3
SELL;02.11.2022;21:15;13:30;0.99446;0.97354;209;16:15;12.862;2
BUY;03.11.2022;13:30;23:15;0.97354;0.99627;227;33:45:00;6.726;3
