Direction;StartTime;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;Duration;Angle;Session
SELL;17:45:00;1.17488;1.15635;185;0.044;0.1573;-189.0625;0.6843;10695;1.03787;2
SELL;03:00:00;1.1689;1.15374;152;0.0605;0.6257;-49.0196;0.6346;990;9.21212;0
SELL;08:00:00;1.16061;1.12795;327;0.0518;0.5578;-255.4348;0.949;11370;1.72559;0
BUY;16:00:00;1.12909;1.14806;190;0.0489;0.1028;-163.8889;0.2926;5250;2.17143;1
SELL;07:30:00;1.14806;1.13172;163;0.0529;0.1748;14.2105;0.6879;6675;1.46517;0
SELL;04:30:00;1.13105;1.11235;187;0.0537;0.2999;-334.8837;0.4162;3240;3.46296;0
BUY;10:30:00;1.11235;1.13292;206;0.0567;0.2112;-10.1604;0.9099;7470;1.65462;1
BUY;13:00:00;1.12757;1.14806;205;0.0854;0.2991;-286.7925;0.2006;1500;8.2;1
SELL;18:15:00;1.14886;1.12868;202;0.0804;0.3018;-94.2308;0.3847;5940;2.0404;2
SELL;12:30:00;1.13558;1.11151;241;0.092;0.6461;-288.7097;0.7454;1755;8.23932;1
SELL;18:15:00;1.12427;1.10661;177;0.0821;0.4229;-82.4742;0.5379;2445;4.34356;2
SELL;21:00:00;1.11318;1.08337;298;0.0878;0.8942;-358.4615;0.7995;6135;2.91443;2
BUY;21:00:00;1.09581;1.11335;175;0.0941;0.5483;-150;0.5314;1380;7.6087;2
BUY;16:00:00;1.09474;1.11323;185;0.0895;0.9491;-330.2326;1.1104;1470;7.55102;1
SELL;17:45:00;1.11195;1.08771;242;0.0587;0.2608;-490.2439;0.8271;8115;1.78928;2
BUY;05:15:00;1.07657;1.09272;161;0.0712;0.8476;-133.3333;0.8239;3210;3.00935;0
SELL;10:45:00;1.09272;1.0515;412;0.0831;0.5605;-155.9006;1.2259;9060;2.72848;1
SELL;16:30:00;1.05673;1.03578;210;0.1107;0.6786;-356.5217;0.763;1635;7.70642;1
