Direction;StartTime;StartPrice;EndTime;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation
SELL;23.09.2021 17:45;1.17488;01.10.2021 04:00;1.15635;185;0.044;0.1573;-189.0625;0.6843
SELL;29.10.2021 03:00;1.1689;29.10.2021 19:30;1.15374;152;0.0605;0.6257;-49.0196;0.6346
SELL;09.11.2021 08:00;1.16061;17.11.2021 05:30;1.12795;327;0.0518;0.5578;-255.4348;0.949
BUY;10.01.2022 16:00;1.12909;14.01.2022 07:30;1.14806;190;0.0489;0.1028;-163.8889;0.2926
SELL;14.01.2022 07:30;1.14806;18.01.2022 22:45;1.13172;163;0.0529;0.1748;14.2105;0.6879
SELL;26.01.2022 04:30;1.13105;28.01.2022 10:30;1.11235;187;0.0537;0.2999;-334.8837;0.4162
BUY;28.01.2022 10:30;1.11235;02.02.2022 15:00;1.13292;206;0.0567;0.2112;-10.1604;0.9099
BUY;03.02.2022 13:00;1.12757;04.02.2022 14:00;1.14806;205;0.0854;0.2991;-286.7925;0.2006
SELL;10.02.2022 18:15;1.14886;14.02.2022 21:15;1.12868;202;0.0804;0.3018;-94.2308;0.3847
SELL;23.02.2022 12:30;1.13558;24.02.2022 17:45;1.11151;241;0.092;0.6461;-288.7097;0.7454
SELL;28.02.2022 18:15;1.12427;02.03.2022 11:00;1.10661;177;0.0821;0.4229;-82.4742;0.5379
SELL;02.03.2022 21:00;1.11318;07.03.2022 03:15;1.08337;298;0.0878;0.8942;-358.4615;0.7995
BUY;16.03.2022 21:00;1.09581;17.03.2022 20:00;1.11335;175;0.0941;0.5483;-150;0.5314
BUY;28.03.2022 16:00;1.09474;29.03.2022 16:30;1.11323;185;0.0895;0.9491;-330.2326;1.1104
SELL;31.03.2022 17:45;1.11195;06.04.2022 09:00;1.08771;242;0.0587;0.2608;-490.2439;0.8271
BUY;19.04.2022 05:15;1.07657;21.04.2022 10:45;1.09272;161;0.0712;0.8476;-133.3333;0.8239
SELL;21.04.2022 10:45;1.09272;27.04.2022 17:45;1.0515;412;0.0831;0.5605;-155.9006;1.2259
SELL;11.05.2022 16:30;1.05673;12.05.2022 19:45;1.03578;210;0.1107;0.6786;-356.5217;0.763
BUY;13.05.2022 16:15;1.03582;18.05.2022 03:00;1.05621;204;0.0795;0.1724;-251.7241;1.0372
BUY;20.05.2022 21:15;1.05337;24.05.2022 19:00;1.07469;213;0.0842;0.3402;-200;0.8996
SELL;09.06.2022 15:15;1.0761;14.06.2022 04:45;1.04014;360;0.0936;0.2661;-480.6452;0.2918
BUY;16.06.2022 10:30;1.03815;16.06.2022 20:30;1.05882;207;0.1876;0.8883;-146.4286;0.8632
SELL;04.07.2022 14:00;1.04611;06.07.2022 15:15;1.01688;292;0.0856;0.6002;-231.8182;0.9564
SELL;08.07.2022 18:00;1.01865;12.07.2022 12:30;1.00008;186;0.0873;0.1698;-70.6422;1.0977
SELL;13.07.2022 17:45;1.0107;14.07.2022 16:30;0.99534;154;0.1007;0.656;-54;0.7173
BUY;14.07.2022 19:45;0.99904;18.07.2022 13:15;1.0162;172;0.0892;0.5459;-265.9574;0.7172
BUY;10.08.2022 03:15;1.02036;10.08.2022 17:45;1.03551;151;0.0934;1.0951;-251.1628;0.8488
SELL;11.08.2022 16:45;1.03589;16.08.2022 14:15;1.01269;232;0.0708;0.1727;-179.5181;0.7227
SELL;17.08.2022 21:00;1.01968;23.08.2022 09:45;0.99062;291;0.0706;0.4072;-315.7143;0.7982
SELL;26.08.2022 17:00;1.00735;29.08.2022 07:30;0.99157;158;0.1074;0.1955;-29.5082;0.309
BUY;08.09.2022 19:00;0.99478;09.09.2022 10:15;1.01093;162;0.08;0.5117;-305;0.4388
BUY;09.09.2022 16:00;1.00344;12.09.2022 10:15;1.0195;161;0.0941;1.1661;-114.6667;1.1312
SELL;13.09.2022 14:15;1.01809;14.09.2022 01:00;0.99609;220;0.1315;0.1937;-218.8406;0.1522
SELL;20.09.2022 03:00;1.00492;21.09.2022 21:00;0.98324;217;0.0972;0.7675;-174.6835;0.7353
SELL;22.09.2022 11:30;0.98996;26.09.2022 03:45;0.95692;330;0.1292;1.5687;-283.7209;1.3701
BUY;28.09.2022 09:45;0.95393;28.09.2022 21:45;0.97447;205;0.2068;0.7122;-69.4215;0.8072
BUY;29.09.2022 15:45;0.96881;30.09.2022 11:00;0.98405;152;0.1314;0.6008;-210.2041;0.41
BUY;03.10.2022 14:30;0.97606;04.10.2022 21:45;0.99977;237;0.1241;0.3848;-264.6154;0.7191
SELL;04.10.2022 21:45;0.99977;05.10.2022 17:15;0.98462;151;0.1072;0.8928;36.2869;0.914
SELL;06.10.2022 06:15;0.99252;07.10.2022 09:30;0.97702;155;0.0989;0.3842;-96.2025;0.3011
BUY;13.10.2022 15:30;0.96487;14.10.2022 04:45;0.97996;151;0.1639;0.4813;-55.6701;0.2557
BUY;14.10.2022 19:45;0.97177;18.10.2022 09:30;0.98685;151;0.0915;0.2232;-106.8493;1.112
BUY;21.10.2022 15:15;0.9714;24.10.2022 00:45;0.98847;171;0.2055;0.2695;-30.5344;0.2191
BUY;24.10.2022 12:15;0.98133;27.10.2022 02:45;1.00934;280;0.0998;0.2122;-300;0.8058
