Direction;StartTime;StartPrice;EndTime;EndPrice;LineLength;AvgDiff;LastCandlesDiff;PrevLineLength;MaxDeviation;Duration;Angle;;;;;;;;;;;;
SELL;21.09.2021 16:30;1.17307;01.10.2021 04:00;1.15635;167;0.0448;0.0315;0;0.8135;227.5;0.7341;;;;;;;;;;;;
BUY;01.10.2021 04:00;1.15635;04.10.2021 15:15;1.16382;75;0.0421;0.0439;55.0898;0.3695;83.25;0.9009;;;;;;;;;;;;
SELL;04.10.2021 15:15;1.16382;06.10.2021 13:00;1.15319;106;0.0406;0.0706;-41.3333;0.4154;45.75;2.3169;;;;;;;;;;;;
BUY;06.10.2021 13:00;1.15319;11.10.2021 09:30;1.15861;54;0.0394;0.0326;49.0566;0.167;116.5;0.4635;;;;;;;;;;;;
SELL;11.10.2021 09:30;1.15861;12.10.2021 20:45;1.15257;60;0.0401;0.0472;-11.1111;0.2308;35.25;1.7021;;;;;;;;;;;;
BUY;12.10.2021 20:45;1.15257;19.10.2021 12:45;1.16661;140;0.0391;0.0628;-133.3333;0.6073;160;0.875;;;;;;;;;;;;
SELL;19.10.2021 12:45;1.16661;28.10.2021 12:30;1.15868;79;0.0393;0.0734;43.5714;0.4339;215.75;0.3662;;;;;;;;;;;;
BUY;28.10.2021 12:30;1.15868;29.10.2021 03:00;1.1689;102;0.0657;0.0271;-29.1139;0.2058;14.5;7.0345;;;;;;;;;;;;
SELL;29.10.2021 03:00;1.1689;29.10.2021 19:30;1.15374;152;0.0605;0.1164;-49.0196;0.6346;16.5;9.2121;;;;;;;;;;;;
BUY;29.10.2021 19:30;1.15374;04.11.2021 02:45;1.16154;78;0.0448;0.0311;48.6842;0.4068;127.25;0.613;;;;;;;;;;;;
SELL;04.11.2021 02:45;1.16154;05.11.2021 15:45;1.15145;101;0.044;0.0685;-29.4872;0.2994;37;2.7297;;;;;;;;;;;;
BUY;05.11.2021 15:45;1.15145;09.11.2021 08:00;1.16061;92;0.0451;0.0384;8.9109;0.286;88.25;1.0425;;;;;;;;;;;;
SELL;09.11.2021 08:00;1.16061;17.11.2021 05:30;1.12795;327;0.0518;0.0757;-255.4348;0.949;189.5;1.7256;;;;;;;;;;;;
BUY;17.11.2021 05:30;1.12795;18.11.2021 19:15;1.13732;94;0.0632;0.079;71.2538;0.3364;37.75;2.4901;;;;;;;;;;;;
SELL;18.11.2021 19:15;1.13732;19.11.2021 14:45;1.12573;116;0.0504;0.0995;-23.4043;0.6129;19.5;5.9487;;;;;;;;;;;;
BUY;19.11.2021 14:45;1.12573;19.11.2021 17:30;1.13198;63;0.1456;0.1262;45.6897;0.1153;2.75;22.9091;;;;;;;;;;;;
SELL;19.11.2021 17:30;1.13198;24.11.2021 19:00;1.11905;129;0.0596;0.0811;-104.7619;0.4913;121.5;1.0617;;;;;;;;;;;;
BUY;24.11.2021 19:00;1.11905;26.11.2021 23:00;1.13279;137;0.0524;0.0448;-6.2016;0.6075;52;2.6346;;;;;;;;;;;;
SELL;26.11.2021 23:00;1.13279;29.11.2021 16:45;1.12609;67;0.0605;0.0884;51.0949;0.3076;65.75;1.019;;;;;;;;;;;;
BUY;29.11.2021 16:45;1.12609;30.11.2021 16:45;1.13784;117;0.0537;0.0683;-74.6269;0.3112;24;4.875;;;;;;;;;;;;
SELL;30.11.2021 16:45;1.13784;30.11.2021 17:45;1.12593;119;0.298;0.298;-1.7094;0.7611;1;119;;;;;;;;;;;;
