Direction;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;MaxImpulse;Duration;Angle
SELL;1.17488;1.15635;185;0.044;0.1685;-189.0625;0.6843;0.213;10695;1.03787
SELL;1.1689;1.15374;152;0.0605;0.9851;-49.0196;0.6346;0.0343;990;9.21212
SELL;1.16061;1.12795;327;0.0518;0.5578;-255.4348;0.949;0.5694;11370;1.72559
BUY;1.12909;1.14806;190;0.0489;0.2756;-163.8889;0.2926;0.3968;5250;2.17143
SELL;1.14806;1.13172;163;0.0529;0.2595;14.2105;0.6879;0.5593;6675;1.46517
SELL;1.13105;1.11235;187;0.0537;0.3008;-334.8837;0.4162;0.4861;3240;3.46296
BUY;1.11235;1.13292;206;0.0567;0.4521;-10.1604;0.9099;0.3666;7470;1.65462
BUY;1.12757;1.14806;205;0.0854;0.3839;-286.7925;0.2006;1.1538;1500;8.2
SELL;1.14886;1.12868;202;0.0804;0.3628;-94.2308;0.3847;0.8987;5940;2.0404
SELL;1.13558;1.11151;241;0.092;0.6899;-288.7097;0.7454;0.0743;1755;8.23932
SELL;1.12427;1.10661;177;0.0821;0.5237;-82.4742;0.5379;0.4108;2445;4.34356
SELL;1.11318;1.08337;298;0.0878;1.0881;-358.4615;0.7995;1.099;6135;2.91443
BUY;1.09581;1.11335;175;0.0941;0.8657;-150;0.5314;0.6695;1380;7.6087
BUY;1.09474;1.11323;185;0.0895;1.4653;-330.2326;1.1104;0.2168;1470;7.55102
SELL;1.11195;1.08771;242;0.0587;0.2645;-490.2439;0.8271;0.4459;8115;1.78928
BUY;1.07657;1.09272;161;0.0712;1.034;-133.3333;0.8239;0.2748;3210;3.00935
SELL;1.09272;1.0515;412;0.0831;1.019;-155.9006;1.2259;0.6504;9060;2.72848
SELL;1.05673;1.03578;210;0.1107;0.8032;-356.5217;0.763;0.1863;1635;7.70642
BUY;1.03582;1.05621;204;0.0795;0.2293;-251.7241;1.0372;0.52;6405;1.91101
BUY;1.05337;1.07469;213;0.0842;0.4924;-200;0.8996;0.2757;5625;2.272
SELL;1.0761;1.04014;360;0.0936;0.2661;-480.6452;0.2918;1.5897;6570;3.28767
BUY;1.03815;1.05882;207;0.1876;1.6656;-146.4286;0.8632;0.1544;600;20.7
SELL;1.04611;1.01688;292;0.0856;1.0567;-231.8182;0.9564;0.5653;2955;5.92893
SELL;1.01865;1.00008;186;0.0873;0.3822;-70.6422;1.0977;0.2447;5430;2.05525
SELL;1.0107;0.99534;154;0.1007;0.9799;-54;0.7173;0.2589;1365;6.76923
BUY;0.99904;1.0162;172;0.0892;0.9281;-265.9574;0.7172;0.6395;5370;1.92179
BUY;1.02036;1.03551;151;0.0934;1.3023;-251.1628;0.8488;0.1395;870;10.41379
