LineLength;AvgDiff;LastCandlesDiff;PrevLineLength;MaxDeviation;DurationHours;BarsCount
110;0.0405;0.0549;29.0323;0.4049;69.75;180
76;0.0403;0.0594;30.9091;0.3664;71.5;95
115;0.0393;0.0451;-51.3158;0.1649;96;385
81;0.0339;0.0434;29.5652;0.3445;146;393
177;0.0319;0.0305;-118.5185;0.3134;312.75;862
102;0.038;0.0317;42.3729;0.4664;55.75;224
312;0.0358;0.0318;-205.8824;0.3068;480.25;1346
264;0.0577;0.1123;15.3846;1.1781;179.25;526
94;0.121;0.1203;64.3939;0.2686;5.5;23
232;0.1102;0.1675;-146.8085;1.026;74.5;107
82;0.0742;0.1032;64.6552;0.3132;16;65
90;0.1437;0.1853;-9.7561;0.6429;6.25;26
91;0.0884;0.117;-1.1111;0.5599;23.25;88
247;0.0847;0.1591;-171.4286;0.7743;48.25;194
60;0.1746;0.1783;75.7085;0.2457;2.75;12
168;0.1469;0.227;-180;0.9582;57.5;39
82;0.2577;0.2577;51.1905;0.1678;1.25;6
86;0.1924;0.1986;-4.878;0.4942;4;17
92;0.2435;0.2435;-6.9767;0.2648;2;9
96;0.184;0.1765;-4.3478;0.3466;4.25;18
62;0.513;0.513;35.4167;0;0.25;2
67;0.2535;0.184;-8.0645;0.3497;3;13
130;0.1457;0.1674;-94.0299;0.3756;14;57
53;0.1914;0.1914;59.2308;0.2439;1.25;6
114;0.1495;0.1111;-115.0943;0.4824;13.5;55
84;0.077;0.0721;26.3158;0.1278;9.25;38
111;0.1181;0.0686;-32.1429;0.3694;14.5;59
77;0.0858;0.1022;30.6306;0.4765;4.25;18
263;0.1924;0.381;-241.5584;1.5851;14.5;59
152;0.2728;0.241;42.2053;0.2879;4;17
62;0.1749;0.104;59.2105;0.1769;4.5;19
63;0.0951;0.1067;-1.6129;0.0928;4.25;18
164;0.1694;0.211;-160.3175;0.6155;11.75;48
138;0.2384;0.2606;15.8537;0.5815;55;29
97;0.2363;0.2363;29.7101;0.206;1.75;8
140;0.158;0.2228;-44.3299;0.7118;7.75;32
134;0.222;0.2489;4.2857;0.3594;5.75;24
84;0.1172;0.0714;37.3134;0.172;11.75;48
220;0.143;0.2137;-161.9048;0.566;12;49
75;0.1165;0.0593;65.9091;0.3096;15;61
232;0.1962;0.2428;-209.3333;0.7667;11.25;46
149;0.1779;0.1455;35.7759;0.3862;6.5;27
143;0.1939;0.2403;4.0268;1.0362;8.75;36
72;0.439;0.439;49.6503;0.3424;0.5;3
156;0.25;0.2405;-116.6667;0.2197;3.75;16
90;0.4351;0.4351;42.3077;0.2206;1;5
166;0.2093;0.0831;-84.4444;0.1252;10.75;44
160;0.172;0.2101;3.6145;0.5116;7.75;32
174;0.2437;0.1783;-8.75;0.4214;11.5;47
119;0.1548;0.1103;31.6092;1.0036;59;45
88;0.156;0.1296;26.0504;0.0983;4.25;18
133;0.2951;0.3402;-51.1364;0.4299;4;17
82;0.198;0.1604;38.3459;0.2494;5.5;23
160;0.1397;0.1872;-95.122;0.4988;14.75;60
135;0.2064;0.1402;15.625;0.225;8.25;34
99;0.1164;0.1516;26.6667;0.39;14.5;59
54;0.1477;0.1335;45.4545;0.1747;5.75;24
287;0.129;0.1121;-431.4815;0.3358;36.5;147
116;0.1444;0.1598;59.5819;0.4138;9.75;40
180;0.1609;0.116;-55.1724;0.1546;6.75;28
207;0.114;0.1215;-15;1.1147;86.75;156
99;0.1538;0.095;52.1739;0.3169;10.25;42
124;0.0999;0.0987;-25.2525;0.4383;20;81
56;0.1183;0.1054;54.8387;0.1525;3.75;16
191;0.0997;0.1344;-241.0714;0.3792;39.75;160
57;0.0899;0.0643;70.1571;0.2767;64.75;68
56;0.0977;0.106;1.7544;0.1844;8;33
137;0.089;0.132;-144.6429;0.4775;24.25;98
75;0.0785;0.1064;45.2555;0.4263;16.5;67
124;0.0652;0.069;-65.3333;0.3068;120.75;292
68;0.0816;0.0876;45.1613;0.158;8;33
92;0.067;0.0353;-35.2941;0.2694;32.5;131
127;0.0682;0.1176;-38.0435;0.4801;13.25;54
75;0.0997;0.0934;40.9449;0.1505;5.5;23
118;0.0777;0.0954;-57.3333;0.386;39.75;160
73;0.0748;0.0924;38.1356;0.4245;71.25;94
69;0.063;0.0811;5.4795;0.1785;22.75;92
57;0.0693;0.0619;17.3913;0.1978;27;109
114;0.0683;0.1039;-100;0.4444;23.5;95
72;0.1469;0.1538;36.8421;0.2397;4.75;20
108;0.0695;0.0914;-50;0.3202;15.75;64
158;0.0704;0.0857;-46.2963;0.6313;100.75;212
68;0.0799;0.0411;56.962;0.0961;9;37
196;0.0745;0.1111;-188.2353;0.9588;66.5;267
241;0.0658;0.0962;-22.9592;0.5635;142.75;380
99;0.0647;0.134;58.9212;0.4986;24.75;100
86;0.055;0.0425;13.1313;0.4298;81.5;135
98;0.0718;0.0993;-13.9535;0.4258;12.75;52
104;0.0595;0.0961;-6.1224;0.5996;47.5;191
225;0.0604;0.0845;-116.3462;0.9622;167.75;480
131;0.0527;0.0433;41.7778;0.2189;90.75;172
153;0.0553;0.1974;-16.7939;0.8169;51.25;206
64;0.1482;0.1532;58.1699;0.3408;5.25;22
176;0.0677;0.0756;-175;0.3766;44.75;180
58;0.1281;0.1269;67.0455;0.2306;5;21
165;0.0714;0.0492;-184.4828;0.7416;122;297
51;0.0474;0.0801;69.0909;0.1413;13;53
177;0.0945;0.0988;-247.0588;0.2244;22.5;91
121;0.0747;0.1057;31.6384;0.4548;97.75;197
159;0.0812;0.1721;-31.405;0.7429;34;137
79;0.0908;0.0873;50.3145;0.3913;10.5;43
59;0.1179;0.1391;25.3165;0.4002;9;37
111;0.103;0.0685;-88.1356;0.1678;11;45
54;0.0656;0.0929;51.3514;0.2391;7.5;31
116;0.1272;0.1211;-114.8148;0.4976;8.75;36
127;0.0743;0.066;-9.4828;0.7311;85.5;151
109;0.1243;0.1763;14.1732;0.4511;8;33
54;0.0586;0.0647;50.4587;0.1789;16.75;68
98;0.0823;0.0919;-81.4815;0.42;33.75;136
54;0.0526;0.1107;44.898;0.4226;19.25;78
76;0.082;0.0434;-40.7407;0.1248;59;45
169;0.065;0.093;-122.3684;0.4596;38.75;156
144;0.0633;0.0896;14.7929;0.3854;45.5;183
90;0.0553;0.0642;37.5;0.5048;95;189
92;0.0594;0.0817;-2.2222;0.203;25;101
59;0.1293;0.1437;35.8696;0.2863;3.25;14
57;0.0529;0.077;3.3898;0.357;20.25;82
102;0.057;0.086;-78.9474;0.2507;21.5;87
77;0.0567;0.0569;24.5098;0.1618;25.25;102
122;0.0529;0.0717;-58.4416;0.6562;75.5;111
77;0.0541;0.0813;36.8852;0.3338;19.25;78
103;0.0573;0.0508;-33.7662;0.4937;44.5;179
107;0.0614;0.0577;-3.8835;0.1204;25.75;104
184;0.0584;0.0663;-71.9626;0.6728;125;309
63;0.05;0.0837;65.7609;0.2602;21.75;88
57;0.096;0.1064;9.5238;0.2244;4.5;19
64;0.0743;0.0738;-12.2807;0.1879;4.75;20
92;0.0558;0.0931;-43.75;0.4036;85.5;151
60;0.0919;0.1122;34.7826;0.3171;5;21
190;0.072;0.105;-216.6667;0.6534;47.25;190
54;0.0633;0.0882;71.5789;0.4061;24;97
235;0.0764;0.1067;-335.1852;0.8285;98;201
73;0.0694;0.0872;68.9362;0.3075;21;85
93;0.0696;0.0938;-27.3973;0.5023;30.75;124
61;0.0708;0.1026;34.4086;0.207;14.5;59
165;0.0838;0.0785;-170.4918;0.1732;21.75;88
198;0.0944;0.0874;-20;0.5945;78.25;122
97;0.0581;0.0771;51.0101;0.2675;18.5;75
77;0.0991;0.1185;20.6186;0.2441;6.25;26
176;0.0745;0.1344;-128.5714;0.3951;25.5;103
76;0.0761;0.1325;56.8182;0.5279;23.25;94
62;0.1481;0.1481;18.4211;0.2942;1.5;7
161;0.0652;0.0422;-159.6774;0.4272;104.75;228
75;0.0701;0.078;53.4161;0.3704;10.75;44
87;0.0796;0.0668;-16;0.1157;16.75;68
147;0.0728;0.1105;-68.9655;0.2495;33.75;136
73;0.0545;0.0952;50.3401;0.2549;19.25;78
175;0.0609;0.1017;-139.726;0.6923;100.25;210
155;0.0724;0.1126;11.4286;0.5472;47.5;191
74;0.0508;0.0326;52.2581;0.05;16.75;68
120;0.1041;0.1097;-62.1622;0.1595;8;33
84;0.0549;0.0662;30;0.4349;70.25;90
61;0.066;0.0463;27.381;0.0597;7.5;31
52;0.0541;0.018;14.7541;0.1577;28;113
60;0.0581;0.0798;-15.3846;0.3277;13;53
98;0.0662;0.152;-63.3333;0.6001;24.75;100
103;0.385;0.385;-5.102;0.3415;0.75;4
227;0.0741;0.0841;-120.3883;0.4987;119;285
201;0.0697;0.0654;11.4537;0.1943;41.5;167
62;0.0694;0.0836;69.1542;0.1794;26.25;106
68;0.1087;0.1489;-9.6774;0.3679;5.25;22
60;0.0884;0.0583;11.7647;0.1943;4.75;20
96;0.0533;0.066;-60;0.4267;112;257
147;0.0683;0.1604;-53.125;0.5301;26.5;107
92;0.1065;0.0894;37.415;0.1761;7;29
88;0.0485;0.0554;4.3478;0.3341;110.5;251
150;0.0652;0.0871;-70.4545;0.6181;40.5;163
122;0.0589;0.0336;18.6667;0.1942;96.75;196
244;0.0674;0.0872;-100;0.2759;80.5;323
58;0.1013;0.0746;76.2295;0.172;5;21
71;0.0625;0.1077;-22.4138;0.3967;21.5;87
136;0.0553;0.0489;-91.5493;0.6245;107.5;239
61;0.0741;0.0861;55.1471;0.2218;11;45
76;0.0744;0.0927;-24.5902;0.2527;22.75;92
61;0.069;0.0941;19.7368;0.2484;24.75;100
